25,0.0002,0.08,0.005,1.03027
5,0.0002,0.08,0.005,1.03317
6,0.0002,0.08,0.005,1.03312
7,0.0002,0.08,0.005,1.03305
8,0.0002,0.08,0.005,1.03298
9,0.0002,0.08,0.005,1.03289
10,0.0002,0.08,0.005,1.0328
11,0.0002,0.08,0.005,1.03269
12,0.0002,0.08,0.005,1.03258
13,0.0002,0.08,0.005,1.03246
15,0.0002,0.08,0.005,1.03218
17,0.0002,0.08,0.005,1.03187
19,0.0002,0.08,0.005,1.03152
21,0.0002,0.08,0.005,1.03114
23,0.0002,0.08,0.005,1.03072
29,0.0002,0.08,0.005,1.02929
31,0.0002,0.08,0.005,1.02875
33,0.0002,0.08,0.005,1.0282
35,0.0002,0.08,0.005,1.02762
37,0.0002,0.08,0.005,1.02702
37,0.0002,0.08,0.005,1.02702
41,0.0002,0.08,0.005,1.02576
43,0.0002,0.08,0.005,1.0251
45,0.0002,0.08,0.005,1.02441
49,0.0002,0.08,0.005,1.023
25,0.0002,0.04,0.005,1.03166
25,0.0002,0.0415,0.005,1.03161
25,0.0002,0.043,0.005,1.03156
25,0.0002,0.0445,0.005,1.03151
25,0.0002,0.046,0.005,1.03147
25,0.0002,0.0475,0.005,1.03142
25,0.0002,0.049,0.005,1.03137
25,0.0002,0.0505,0.005,1.03132
25,0.0002,0.052,0.005,1.03127
25,0.0002,0.0535,0.005,1.03123
25,0.0002,0.055,0.005,1.03118
25,0.0002,0.0565,0.005,1.03113
25,0.0002,0.058,0.005,1.03108
25,0.0002,0.0595,0.005,1.03103
25,0.0002,0.0605,0.005,1.031
25,0.0002,0.062,0.005,1.03095
25,0.0002,0.0635,0.005,1.03089
25,0.0002,0.065,0.005,1.03084
25,0.00015,0.065,0.005,1.0308
25,0.000115,0.065,0.005,1.03082
25,0.000115,0.065,0.007,1.02985
25,0.000115,0.065,0.0075,1.02961
25,0.000115,0.065,0.0045,1.03106
25,0.000115,0.065,0.005,1.03082
25,0.000145,0.065,0.005,1.0308
25,0.00013,0.065,0.005,1.0308
25,0.00014,0.065,0.005,1.0308
25,0.00016,0.065,0.005,1.03082
25,0.00017,0.065,0.005,1.03082
25,0.00018,0.065,0.005,1.03083
25,0.00019,0.065,0.005,1.03084
45,0.00011,0.05,0.006,1.02597
45,0.00012,0.05,0.006,1.02611
45,0.00013,0.05,0.006,1.02626
45,0.000135,0.05,0.006,1.02634
45,0.00014,0.05,0.006,1.0264
45,0.000145,0.05,0.006,1.02645
45,0.00016,0.05,0.006,1.02652
45,0.000161,0.05,0.006,1.02651
45,0.000161,0.05,0.006,1.02651
45,0.000163,0.05,0.006,1.0265
45,0.000164,0.05,0.006,1.0265
45,0.000164,0.051,0.006,1.02641
45,0.000164,0.0501,0.006,1.02649
45,0.000164,0.0502,0.006,1.02648
45,0.000164,0.0503,0.006,1.02648
45,0.000164,0.0504,0.006,1.02647
45,0.000164,0.0505,0.006,1.02646
45,0.000164,0.0506,0.006,1.02645
45,0.000164,0.0516,0.006,1.02636
45,0.000164,0.0526,0.006,1.02626
15,0.000164,0.0526,0.006,1.03241
15,0.000184,0.0526,0.006,1.03241
15,0.000184,0.0526,0.0061,1.03239
15,0.000184,0.0526,0.0062,1.03238
15,0.000184,0.0526,0.0063,1.03237
15,0.000184,0.0526,0.0064,1.03235
14,0.000184,0.0526,0.0064,1.03247
13,0.000184,0.0526,0.0064,1.03239
12,0.000184,0.0526,0.0064,1.03253
11,0.000184,0.0526,0.0064,1.03265
10,0.000184,0.0526,0.0064,1.03276
10,0.000184,0.0526,0.0031,1.03304
10,0.000184,0.0526,0.0032,1.03303
10,0.000184,0.0526,0.0033,1.03302
10,0.000184,0.0526,0.0034,1.03301
10,0.000184,0.0526,0.0035,1.03301
10,0.000184,0.0526,0.0036,1.033
10,0.000184,0.0526,0.0037,1.03299
10,0.000184,0.0526,0.0038,1.03298
10,0.000184,0.0526,0.0039,1.03297
10,0.000184,0.0526,0.0043,1.03294
49,0.000173,0.04,0.003,1.02728
48,0.000186,0.06857,0.003,1.02536
50,0.0002,0.08,0.003,1.02325
50,0.00018,0.08,0.003,1.02299
