,MSE,RMSE,MAE,MAPE (%),R²,Accuracy < 0.0001
Random Forest,3.2166054486413814e-07,0.0005188314206198832,0.00023650294074628375,0.2788888135294779,0.9568459518143084,10.0
XGBoost,5.54401595803768e-07,0.000691051046190797,0.0004017932373046906,0.26918184164962905,0.9330154677908655,7.2
MLP,1.5158798397207847e-07,0.0003577644690999725,0.00018204727706909948,0.01770850730961875,0.9791733812045521,58.0
