,MSE,RMSE,MAE,MAPE (%),R²,Accuracy < 0.005
Random Forest,3.5485143938994793e-07,0.0005956940820504665,0.0003680937042236265,0.23705682179685786,0.9419175084013527,81.0
XGBoost,2.3270440194237986e-07,0.00048239444642572313,0.00025799687260452675,0.24247218914501528,0.9619106759323761,79.75
MLP,2.8798108786531884e-08,0.00016970005535217684,9.692907042335719e-05,0.009410361235495657,0.9952862858772278,100.0
