,MSE,RMSE,MAE,MAPE (%),R²,Accuracy < 0.0001
Random Forest,3.812645133768588e-07,0.0005448593167679259,0.00027036432281033027,0.27499274632732995,0.9546261338211544,9.2
XGBoost,3.8632093852694793e-07,0.0005868328988599619,0.0003565486999511758,0.2703140971446699,0.9510639818397115,6.9
MLP,1.1023352607282049e-07,0.0002798689340614257,0.00015653008270264613,0.015233756317966519,0.9877676484853453,58.0
